,SettlementPoint,Mean,Min,Max,SD,Year,Month
233,HB_SOUTH,27.405569444444456,11.08,203.25,15.053059746843541,2016,09
234,HB_SOUTH,25.51509722222224,8.68,68.76,8.801109045773565,2017,09
235,HB_SOUTH,27.189805555555555,15.64,87.78,10.218478841636117,2018,09
236,HB_SOUTH,78.90047222222212,8.03,5000.73,379.0236350930704,2019,09
237,HB_SOUTH,26.68966397849464,3.43,282.46,17.671567723574363,2016,10
238,HB_SOUTH,25.56365591397848,4.63,113.12,11.443610361693004,2017,10
239,HB_SOUTH,29.772513440860244,14.49,93.43,9.647190833725764,2018,10
240,HB_SOUTH,29.468400537634416,8.4,838.47,52.06511827553334,2019,10
241,HB_SOUTH,20.14883333333334,3.2,49.27,6.918300399465621,2016,11
242,HB_SOUTH,23.97718055555557,5.09,92.56,8.787211894234105,2017,11
243,HB_SOUTH,29.837180555555587,9.46,104.24,11.002205151109665,2018,11
244,HB_SOUTH,23.718555555555533,3.95,181.03,13.497690540509819,2019,11
245,HB_SOUTH,25.708991935483862,2.72,141.49,11.367082161043967,2016,12
246,HB_SOUTH,21.99791666666665,5.73,64.46,5.585505404189781,2017,12
247,HB_SOUTH,30.089301075268807,6.18,118.6,10.294004189647126,2018,12
248,HB_SOUTH,18.95251344086021,3.58,69.69,6.656832472968684,2019,12
249,HB_WEST,19.126559139784952,4.84,55.96,5.552808074476875,2016,01
250,HB_WEST,21.901720430107524,-0.4,96.47,8.329261364773265,2017,01
251,HB_WEST,36.051639784946275,0.21,1661.14,87.99336444454858,2018,01
252,HB_WEST,23.881545698924697,0.63,75.83,9.6846452488892,2019,01
253,HB_WEST,14.988663793103447,-0.61,51.36,6.017304549324409,2016,02
254,HB_WEST,17.616681547619056,-4.3,52.13,8.353607598538456,2017,02
255,HB_WEST,21.087604166666658,1.05,73.33,8.12356220846839,2018,02
256,HB_WEST,20.491160714285716,3.1,57.22,7.910899373907354,2019,02
257,HB_WEST,15.871668909825038,0.38,60.57,7.38101028616066,2016,03
258,HB_WEST,19.813593539703888,-0.05,64.77,8.285855409811548,2017,03
259,HB_WEST,20.3336204576043,-0.62,69.7,9.999361985102992,2018,03
260,HB_WEST,25.66967698519515,-0.28,686.52,35.93572452588236,2019,03
261,HB_WEST,16.86274999999999,-0.05,90.43,9.270893627043186,2016,04
262,HB_WEST,19.996097222222236,-0.95,67.92,8.115485320873688,2017,04
263,HB_WEST,17.156625000000005,-5.98,52.8,11.163072038103403,2018,04
264,HB_WEST,19.551875000000013,-0.3,100.0,13.864652786735466,2019,04
265,HB_WEST,17.337674731182776,1.06,71.97,7.648550692442676,2016,05
266,HB_WEST,22.166612903225815,1.2,53.75,6.960570769950853,2017,05
267,HB_WEST,27.692016129032254,-4.56,531.53,38.01272945351063,2018,05
268,HB_WEST,22.70266129032257,4.5,68.36,9.238910469479,2019,05
269,HB_WEST,23.141930555555533,3.73,102.08,10.28663749776717,2016,06
